"name";"color";"tone";"first_photo"
"АКС-1-1";"красный";"ярко-красный";"https://star-tex.ru/media/items/17_K7R0BB5.jpg"
"АКС-1-11";"персиковый";"";"https://star-tex.ru/media/items/13_cY8eWFE.jpg"
"АКС-1-12";"синий";"чернильный";"https://star-tex.ru/media/items/5662091_Image.jpg"
"АКС-1-13";"голубой";"бирюзово-голубой";"https://star-tex.ru/media/items/9265-031-01.jpg"
"АКС-1-14";"розовый";"ярко-розовый";"https://star-tex.ru/media/items/6540084_Image.jpg"
"АКС-1-15";"желтый";"";"https://star-tex.ru/media/items/1_Tpjti9C.jpg"
"АКС-1-16";"фиолетовый";"";"https://star-tex.ru/media/items/16_Fdl6rjR.jpg"
"АКС-1-18";"голубой";"темно-голубой";"https://star-tex.ru/media/items/5662070_Image.jpg"
"АКС-1-19";"розовый";"";"https://star-tex.ru/media/items/10_u3qK6fn.jpg"
"АКС-1-20";"бордовый";"баклажановый";"https://star-tex.ru/media/items/40_JDA6vbl_2Lb2pNw.jpg"
"АКС-1-23";"зеленый";"изумрудный";"https://star-tex.ru/media/items/37_WuwoWuN.jpg"
"АКС-1-24";"оранжевый";"персиковый";"https://star-tex.ru/media/items/4_OURXikL.jpg"
"АКС-1-25";"зеленый";"";"https://star-tex.ru/media/items/7_gRMzFpw.jpg"
"АКС-1-26";"бирюзовый";"";"https://star-tex.ru/media/items/34_G8JPnQ2.jpg"
"АКС-1-27";"красный";"";"https://star-tex.ru/media/items/1_ePgAjtB.jpg"
"АКС-1-28";"синий";"электрик";"https://star-tex.ru/media/items/31_BTnF9qE.jpg"
"АКС-1-29";"бордовый";"свекольный";"https://star-tex.ru/media/items/28_I4uAr5D.jpg"
"АКС-1-30";"оранжевый";"";"https://star-tex.ru/media/items/10_K8sz4VK.jpg"
"АКС-1-32";"синий";"темно-синий";"https://star-tex.ru/media/items/22_q42Dr2u.jpg"
"АКС-1-34";"молочный";"айвори";"https://star-tex.ru/media/items/7_HvPFz3r.jpg"
"АКС-1-35";"сиреневый";"";"https://star-tex.ru/media/items/16_IRVS8gP.jpg"
"АКС-1-37";"желтый";"ярко-желтый";"https://star-tex.ru/media/items/5661915_Image.jpg"
"АКС-1-38";"мятный";"";"https://star-tex.ru/media/items/10_q3EbX3M.jpg"
"АКС-1-39";"оранжевый";"морковный";"https://star-tex.ru/media/items/19_sr8I8iZ.jpg"
"АКС-1-4";"бежевый";"";"https://star-tex.ru/media/items/6540116_Image.jpg"
"АКС-1-40";"зеленый";"молодая трава";"https://star-tex.ru/media/items/7_Cp1nE6t.jpg"
"АКС-1-41";"черный";"";"https://star-tex.ru/media/items/19_mS28Hv2.jpg"
"АКС-1-42";"белый";"";"https://star-tex.ru/media/items/1_jtUZUQF.jpg"
"АКС-1-44";"молочный";"";"https://star-tex.ru/media/items/4_U3AX0v9.jpg"
"АКС-1-45";"бежевый";"золотисто-бежевый";"https://star-tex.ru/media/items/7_Fdyfx7w.jpg"
"АКС-1-48";"голубой";"";"https://star-tex.ru/media/items/16_aI0AZyg.jpg"
"АКС-1-5";"кислотный";"неоново-оранжевый";"https://star-tex.ru/media/items/9265or01.jpg"
"АКС-1-50";"серый";"серо-голубой";"https://star-tex.ru/media/items/23_CGUATLI.jpg"
"АКС-1-51";"зеленый";"зеленое яблоко";"https://star-tex.ru/media/items/4_phYBmrh.jpg"
"АКС-1-53";"зеленый";"бледно-зеленый";"https://star-tex.ru/media/items/5662006_Image.jpg"
"АКС-1-55";"бордовый";"";"https://star-tex.ru/media/items/9265-032-01.jpg"
"АКС-1-57";"фуксия";"";"https://star-tex.ru/media/items/5661957_Image.jpg"
"АКС-1-58";"зеленый";"салатовый";"https://star-tex.ru/media/items/5662013_Image.jpg"
"АКС-1-61";"розовый";"пыльно-розовый";"https://star-tex.ru/media/items/6791798_Image.jpg"
